user,timestamp,ip,event,details,item_id,quantity,price,error_type,message,Base64Error
user_345,2024-11-19T07:21:40.994519,212.47.97.84,logout,"{'item_id': 7403, 'quantity': 1, 'price': 990.01}",,,,,,
user_686,2024-11-18T10:37:33.994547,107.208.230.77,purchase,,7451.0,3.0,517.19,,,
user_461,2024-11-19T11:03:46.994557,40.68.245.11,update,"{'item_id': 2160, 'quantity': 4, 'price': 809.12}",,,,,,
user_266,2024-11-18T12:15:47.994574,74.33.75.142,update,"{'item_id': 5744, 'quantity': 4, 'price': 566.89}",,,,,,
,2024-11-18T15:45:19.994584,,,,,,,InvalidBase64,Data cannot be decoded,
,2024-11-18T11:57:39.994588,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-18T11:57:39.994588,
user_736,2024-11-18T13:02:23.994610,150.47.141.80,logout,,7992.0,3.0,437.89,,,
,2024-11-18T20:38:31.994617,,,,,,,TimeoutError,Connection to DB failed 2024-11-18T20:38:31.994617,
user_654,2024-11-19T07:07:37.994632,65.227.236.14,login,,4537.0,2.0,304.73,,,
user_264,2024-11-17T22:57:09.994641,175.212.47.86,purchase,,3905.0,4.0,804.66,,,
user_583,2024-11-19T06:16:49.994654,112.176.235.191,logout,"{'item_id': 7283, 'quantity': 5, 'price': 605.55}",,,,,,
user_85,2024-11-18T15:24:08.994675,64.186.59.127,login,"{'item_id': 5463, 'quantity': 3, 'price': 656.24}",,,,,,
,2024-11-19T08:46:04.994686,,,,,,,TimeoutError,Connection to DB failed 2024-11-19T08:46:04.994686,
,,,,,,,,,,Invalid Base64 or decoding error
user_174,2024-11-18T08:23:09.994706,21.186.233.17,login,"{'item_id': 8342, 'quantity': 5, 'price': 972.31}",,,,,,
user_420,2024-11-18T12:59:48.994735,246.215.165.221,login,"{'item_id': 5387, 'quantity': 4, 'price': 299.94}",,,,,,
user_652,2024-11-19T11:35:50.994746,6.93.160.187,logout,"{'item_id': 6683, 'quantity': 1, 'price': 878.95}",,,,,,
